id,stop_name,stop_id,line_number,mode_type
,,,,
b042a3bb-e536-49ef-80ef-308d92704282,UBC Exchange @ Bay 4,60162,R4,bus
f446c210-d027-4932-9478-0c30ee419023,Wesbrook Mall @ Agronomy Rd,60383,R4,bus
5085c892-5a55-4367-8ccf-7c302af5f48d,W 16 Ave @ Wesbrook Mall,51883,R4,bus
27d7938e-6e8d-4c28-866c-e530b65d63a7,Dunbar Loop @ Bay 7,60393,R4,bus
433cb040-92c2-4762-bbcf-24fe60d619a1,W 41 Ave @ Carnarvon St,50377,R4,bus
583272e5-2d9d-443b-8bab-e4d85d7e039c,W 41 Ave @ East Blvd,60386,R4,bus
ef9b8157-5cc3-49aa-a9d3-ae252da7f260,W 41 Ave @ Granville St,50199,R4,bus
3af068ce-a9b8-47d0-b688-b9c61a1ca589,W 41 Ave @ Oak St,50804,R4,bus
662e0ddb-ea75-4526-a6a1-38663f2f222f,W 41 Ave @ Cambie St,60349,R4,bus
1385d32f-f22d-472c-bd5d-6c975241c709,E 41 Ave @ Main St,50253,R4,bus
22faf7f4-7724-4de7-8380-bd4ed922a8e3,E 41 Ave @ Fraser St,61503,R4,bus
3660ceb3-c334-454c-8cd4-ddb1f9f2debe,E 41 Ave @ Knight St,50649,R4,bus
30865b1b-0135-4670-83b6-075d647e543c,E 41 Ave @ Victoria Dr,51121,R4,bus
5f60c125-b099-458c-a7c7-925d6c480b4b,E 41 Ave @ Clarendon St,51124,R4,bus
a695c130-30be-4ca3-85ef-2e98eac2d1ce,E 41 Ave @ Rupert St,51128,R4,bus
ce805ea7-506b-4727-9e43-848bc23b9a36,Joyce St @ Kingsway ,51636,R4,bus
7c419f58-6e0f-4533-bcf5-41e65947ff1a,Joyce St @ Bay 1 Unload Only ,51722,R4,bus
,,,,
71a72452-d9bb-42a9-9058-8a8bdc994013,Burrard Station @ Bay 6,53312,R5,bus
26fb435f-a540-435d-b3c5-f7da161a450e,Waterfront Station @ Bay 1,58202,R5,bus
8eaa9667-805e-4efe-bbef-41be2786138d,W Hastings St @ Granville St,51374,R5,bus
2609dda7-e51a-4a08-b89f-fdf8c00a2af7,W Hastings St @ Abbott St,52712,R5,bus
c2053ec6-45c4-468e-9a6c-aa8515493026,E Hastings St @ Main St,52713,R5,bus
c0ec56d3-ec8c-4632-9291-560c81f9f6d5,E Hastings St @ Commercial Dr,52714,R5,bus
c3fddf4b-fa0c-4a55-9a53-32cbd72361d4,E Hastings St @ Nanaimo St,50947,R5,bus
2d90d174-6f0a-4999-a6cb-b6fcb8f08358,E Hastings St @ Renfrew St ,50951,R5,bus
526a2b01-3a9e-4785-a8b0-344b1a34b9f3,Kootenay Loop @ Bay 5,50955,R5,bus
c5a4cc7d-2259-45c0-a8fc-d384cc180307,Kootenay Loop @ Bay 8,60600,R5,bus
74e69bba-34dd-4c46-8873-e43b7d3d079f,Boundary Rd @ Kitchener St,51743,R5,bus
35c4bbb4-ba51-4462-8a01-a73131f2b39f,Hastings St @ Gilmore Ave,58428,R5,bus
5f01f99d-e681-40bf-a1a9-b7ab5b94fec0,Hastings St @ Willingdon Ave,51381,R5,bus
6e1b9ae4-c774-4d13-aa99-d7e332edebb1,Hastings St @ Hythe Ave,51846,R5,bus
